price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage
6315,limousine,2000,manuell,0,80,5000,benzin,audi,nein
1900,kleinwagen,2003,manuell,52,matiz,70000,benzin,Other,nein
6000,limousine,2010,manuell,105,golf,150000,diesel,volkswagen,nein
10499,kombi,2008,automatik,110,clubman,100000,diesel,Other,nein
5500,kleinwagen,2010,automatik,54,fortwo,125000,diesel,Other,nein
1100,coupe,2001,manuell,106,stilo,80000,benzin,fiat,nein
12300,coupe,1979,automatik,241,andere,150000,benzin,Other,nein
6315,limousine,1995,manuell,0,golf,5000,benzin,Other,nein
4500,suv,2008,manuell,140,sportage,150000,diesel,Other,nein
1100,kleinwagen,1999,manuell,60,punto,150000,benzin,fiat,nein
650,bus,1999,manuell,107,scenic,150000,benzin,renault,nein
4900,coupe,1982,manuell,125,andere,80000,benzin,opel,nein
14999,coupe,2010,manuell,122,scirocco,60000,benzin,volkswagen,nein
2000,limousine,2001,manuell,110,mondeo,150000,benzin,ford,nein
4999,kombi,2005,manuell,136,v50,150000,diesel,Other,nein
19590,suv,2012,automatik,163,kuga,50000,diesel,ford,nein
1200,limousine,1997,automatik,0,3er,150000,benzin,bmw,ja
1999,kleinwagen,2004,automatik,61,fortwo,125000,benzin,Other,nein
9599,cabrio,2007,manuell,200,eos,150000,benzin,volkswagen,nein
1250,kleinwagen,2000,manuell,75,golf,150000,benzin,volkswagen,nein
850,kleinwagen,1998,manuell,60,punto,150000,benzin,fiat,nein
6315,kleinwagen,1995,manuell,54,micra,150000,benzin,Other,nein
3499,kombi,2003,manuell,143,c_klasse,150000,benzin,mercedes_benz,nein
750,kleinwagen,2003,manuell,75,golf,150000,benzin,opel,nein
5900,suv,1995,automatik,211,grand,150000,benzin,Other,nein
9500,limousine,2009,manuell,122,golf,80000,benzin,volkswagen,nein
1300,limousine,2005,manuell,109,andere,150000,benzin,Other,ja
1350,kleinwagen,2003,manuell,59,andere,100000,benzin,Other,nein
998,kleinwagen,2002,manuell,0,seicento,150000,benzin,fiat,nein
500,limousine,2000,manuell,0,a3,5000,benzin,audi,nein
2450,bus,2000,manuell,128,ducato,150000,diesel,fiat,nein
800,kombi,2000,manuell,101,vectra,150000,benzin,opel,nein
1490,bus,2000,manuell,90,andere,125000,benzin,peugeot,nein
800,kleinwagen,1999,manuell,60,fiesta,150000,benzin,ford,nein
5800,suv,2003,manuell,150,rav,125000,benzin,Other,nein
950,kleinwagen,2000,manuell,60,golf,125000,benzin,ford,nein
7000,cabrio,2003,automatik,170,3er,150000,benzin,bmw,nein
3500,kleinwagen,2004,automatik,60,corsa,60000,benzin,opel,nein
1900,bus,2002,manuell,125,zafira,150000,benzin,opel,nein
3950,kleinwagen,2007,manuell,86,ibiza,80000,benzin,seat,nein
1400,kleinwagen,2000,manuell,60,andere,50000,benzin,Other,nein
1400,limousine,1997,manuell,147,andere,150000,benzin,Other,nein
14900,kombi,2011,automatik,140,a3,80000,diesel,audi,nein
2350,limousine,2002,manuell,107,3_reihe,150000,diesel,peugeot,nein
2700,limousine,1998,manuell,190,golf,150000,benzin,bmw,nein
2300,limousine,2002,manuell,75,golf,90000,benzin,volkswagen,ja
3150,limousine,2003,manuell,75,cordoba,40000,benzin,seat,nein
6500,limousine,2005,automatik,150,3er,150000,benzin,bmw,nein
1500,coupe,2000,manuell,179,golf,150000,benzin,ford,nein
6315,limousine,2016,automatik,0,cuore,100000,benzin,Other,ja
3595,kleinwagen,2004,manuell,75,lupo,100000,benzin,volkswagen,nein
10800,cabrio,2002,automatik,231,3er,150000,benzin,bmw,nein
7500,limousine,2017,automatik,130,transporter,150000,benzin,volkswagen,nein
850,limousine,1996,automatik,193,e_klasse,150000,benzin,mercedes_benz,nein
3499,limousine,2000,automatik,143,c_klasse,150000,diesel,mercedes_benz,nein
6315,limousine,1995,manuell,0,astra,100000,benzin,opel,nein
4900,suv,1988,manuell,124,andere,150000,diesel,Other,nein
8888,cabrio,1997,automatik,193,slk,125000,benzin,mercedes_benz,nein
16000,kleinwagen,2013,manuell,98,one,30000,benzin,Other,nein
11900,limousine,2010,automatik,105,golf,50000,benzin,volkswagen,nein
6315,limousine,1993,manuell,0,golf,150000,benzin,audi,nein
6315,limousine,1999,manuell,75,1_reihe,150000,benzin,peugeot,ja
