,index,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
250346,250346,2016-03-11 03:00:46,Renault_Megane_TCe_180_Service+Bremsen_Neu_Keyless_Go,privat,Angebot,6299,control,coupe,2009,manuell,179,megane,150000,5,benzin,renault,nein,2016-03-11 00:00:00,0,71069,2016-04-06 03:16:25
298224,298224,2016-03-06 01:51:17,Audi_A1_1.4_TFSI_S_tronic_Attraction,privat,Angebot,14990,control,kleinwagen,2011,automatik,122,a1,50000,1,benzin,audi,nein,2016-03-05 00:00:00,0,97717,2016-03-25 04:18:00
184549,184549,2016-03-07 21:39:56,BMW_330_D_Touring_Automatic_Sportpaket,privat,Angebot,17990,control,kombi,2008,automatik,231,3er,150000,5,diesel,bmw,nein,2016-03-07 00:00:00,0,50170,2016-04-05 23:45:04
67986,67986,2016-03-24 11:41:34,Hyundai_i30_1.6_Comfort,privat,Angebot,3499,test,limousine,2007,manuell,122,i_reihe,150000,10,benzin,hyundai,nein,2016-03-24 00:00:00,0,74321,2016-03-27 07:44:50
6355,6355,2016-03-06 18:48:31,BMW_118d_DPF_Aut.Limited_Sport_Edition_Mod._2008,privat,Angebot,11499,control,limousine,2007,automatik,143,1er,150000,10,diesel,bmw,nein,2016-03-06 00:00:00,0,94315,2016-03-07 18:18:01
230059,230059,2016-03-12 10:54:36,Ford_Mondeo_BJ._2001_mit_neuem_Tuev,privat,Angebot,3350,control,kombi,2001,manuell,110,mondeo,150000,4,benzin,ford,nein,2016-03-12 00:00:00,0,86316,2016-03-17 08:15:45
330754,330754,2016-03-18 00:51:04,Smart_Cabrio,privat,Angebot,1750,test,limousine,2016,automatik,41,fortwo,150000,10,diesel,smart,nein,2016-03-17 00:00:00,0,21033,2016-03-18 03:46:57
298626,298626,2016-03-25 18:43:49,Volkswagen_Scirocco_2.0_TSI_|_DSG_|_Navi_|_Panorama,privat,Angebot,16199,test,coupe,2009,automatik,200,scirocco,60000,6,benzin,volkswagen,nein,2016-03-25 00:00:00,0,94234,2016-04-07 00:16:18
220942,220942,2016-04-02 18:47:48,Volvo_XC70__Leder_Scheckheft__Top_Zustand__Vovlo_Garan,privat,Angebot,17900,control,kombi,2011,manuell,163,xc_reihe,150000,6,diesel,volvo,nein,2016-04-02 00:00:00,0,46519,2016-04-02 18:47:48
81185,81185,2016-03-08 13:36:18,Volkswagen_Golf_GTD_BlueMotion_Technology,privat,Angebot,28900,control,limousine,2015,manuell,184,golf,20000,4,diesel,volkswagen,nein,2016-03-08 00:00:00,0,30916,2016-04-06 00:16:48
216013,216013,2016-03-30 23:39:36,"Super_schoenes_Coupe___""_Voll_Ausstattung_""",privat,Angebot,16500,control,coupe,2012,manuell,143,cooper,50000,3,diesel,mini,nein,2016-03-30 00:00:00,0,90530,2016-03-30 23:39:36
152330,152330,2016-03-28 19:56:25,Audi_90_quattro_20V_Exclusive_Sportserie__AT_Motor_,privat,Angebot,4900,control,limousine,1989,manuell,170,90,150000,6,benzin,audi,nein,2016-03-28 00:00:00,0,86753,2016-04-04 23:45:13
163432,163432,2016-03-08 10:36:21,BMW_323i_Coupe,privat,Angebot,1000,test,coupe,1996,manuell,170,3er,150000,6,benzin,bmw,nein,2016-03-08 00:00:00,0,66606,2016-04-07 09:17:02
12132,12132,2016-03-30 17:58:42,Golf_IV_variant,privat,Angebot,1200,control,kombi,2000,manuell,0,golf,150000,5,benzin,volkswagen,nein,2016-03-30 00:00:00,0,49808,2016-03-30 17:58:42
93728,93728,2016-04-03 18:55:59,Familienauto_zu_verkaufen,privat,Angebot,1200,control,bus,1998,manuell,114,espace,150000,7,benzin,renault,nein,2016-04-03 00:00:00,0,67466,2016-04-05 19:19:26
75308,75308,2016-03-17 00:58:01,Seat_Toledo_1.9_TDI_+_Sport_+_6_Gang_+_AHK,privat,Angebot,2890,test,limousine,2004,manuell,131,toledo,150000,6,diesel,seat,nein,2016-03-16 00:00:00,0,55606,2016-04-06 01:48:44
135473,135473,2016-03-07 21:38:00,BMW_E_46__316TI_Compact,privat,Angebot,1450,control,limousine,2002,manuell,116,3er,150000,3,benzin,bmw,ja,2016-03-07 00:00:00,0,26529,2016-03-11 06:45:24
152295,152295,2016-03-27 17:58:49,BMW_320_Ci,privat,Angebot,10999,test,cabrio,2001,manuell,170,3er,80000,4,benzin,bmw,nein,2016-03-27 00:00:00,0,40231,2016-04-05 14:16:37
273929,273929,2016-03-13 13:48:31,KIA_Sorento_gebraucht,privat,Angebot,6200,test,suv,2005,automatik,140,sorento,100000,7,diesel,kia,nein,2016-03-13 00:00:00,0,69509,2016-03-13 13:48:31
75056,75056,2016-03-11 20:57:33,Audi_A6_2_4_S_line_Packet_TÜV_Neu,privat,Angebot,8600,control,limousine,2004,automatik,178,a6,150000,12,benzin,audi,nein,2016-03-11 00:00:00,0,49661,2016-03-20 10:18:00
246355,246355,2016-03-06 11:43:36,Mercedes_Benz_C_200_Kompressor_Avantgarde_Sport_Edition_+,privat,Angebot,9900,test,limousine,2005,manuell,163,c_klasse,90000,6,benzin,mercedes_benz,nein,2016-03-06 00:00:00,0,68519,2016-04-02 06:44:48
204996,204996,2016-04-03 09:52:34,Opel_Vectra_1.8_Caravan,privat,Angebot,800,control,kombi,1998,manuell,116,vectra,150000,11,benzin,opel,nein,2016-04-03 00:00:00,0,68307,2016-04-07 11:17:40
299640,299640,2016-03-11 23:36:18,BMW_530d_Aut.,privat,Angebot,10500,test,limousine,2005,automatik,231,5er,150000,11,diesel,bmw,nein,2016-03-11 00:00:00,0,80333,2016-04-05 19:45:24
91583,91583,2016-03-11 01:00:44,Mazda_MX_5_1_6__16V,privat,Angebot,3200,test,cabrio,1999,manuell,110,mx_reihe,150000,3,benzin,mazda,nein,2016-03-10 00:00:00,0,63571,2016-04-06 02:44:32
230601,230601,2016-03-07 09:58:04,Volvo_C30_1.6D_DRIVe,privat,Angebot,6299,control,limousine,2009,manuell,109,c_reihe,100000,12,diesel,volvo,nein,2016-03-07 00:00:00,0,29525,2016-04-06 08:46:30
33991,33991,2016-03-30 14:36:58,Jeep_Wrangler_2.5_Sport__SOFTTOP+HARDTOP,privat,Angebot,6950,control,suv,1997,manuell,118,wrangler,150000,11,benzin,jeep,nein,2016-03-30 00:00:00,0,28197,2016-04-01 08:17:50
3611,3611,2016-03-26 14:25:24,Peugeot_207_110_HDi_FAP__Blue_Lion__Sport,privat,Angebot,4000,test,kleinwagen,2006,manuell,109,2_reihe,150000,11,diesel,peugeot,nein,2016-03-26 00:00:00,0,35398,2016-04-06 14:17:43
147527,147527,2016-03-15 14:38:59,A_Klasse_in_guten_zustand,privat,Angebot,1599,control,kleinwagen,2003,manuell,95,golf,150000,9,diesel,mercedes_benz,nein,2016-03-15 00:00:00,0,8209,2016-03-15 14:38:59
331366,331366,2016-04-05 09:25:19,Hyundai_i30_1.4_Classic,privat,Angebot,5100,control,limousine,2013,manuell,99,i_reihe,20000,2,benzin,hyundai,nein,2016-04-05 00:00:00,0,60327,2016-04-05 12:27:34
339380,339380,2016-03-27 00:57:07,Volkswagen_Golf_VII_2.0_TSI_GTI_BMT_DSG_Navi_Xenon,privat,Angebot,23950,test,limousine,2013,automatik,220,golf,70000,5,benzin,volkswagen,nein,2016-03-26 00:00:00,0,74740,2016-04-07 04:16:12
233518,233518,2016-03-14 12:52:29,BMW_318i_cabrio,privat,Angebot,800,test,cabrio,1990,manuell,113,3er,150000,12,benzin,bmw,nein,2016-03-14 00:00:00,0,67655,2016-04-01 17:46:10
74070,74070,2016-03-07 16:45:08,Vw_Golf_4_zu_verkaufen,privat,Angebot,1400,control,kombi,1999,manuell,65,golf,150000,9,diesel,volkswagen,ja,2016-03-07 00:00:00,0,27721,2016-03-11 17:45:53
336336,336336,2016-03-23 11:25:20,BMW_730i___Automatikgetriebe___Baujahr_1993___behindertengerecht,privat,Angebot,2200,test,limousine,1993,automatik,218,7er,150000,9,benzin,bmw,nein,2016-03-23 00:00:00,0,61352,2016-04-06 08:46:17
185235,185235,2016-04-04 14:47:43,Opel_combo_1.3_Diesel/_190000km/2_Hand/_LKW_Zulassung/,privat,Angebot,2550,test,limousine,2008,manuell,75,combo,150000,5,diesel,opel,nein,2016-04-04 00:00:00,0,27753,2016-04-06 16:17:06
131382,131382,2016-03-25 17:56:59,Volkswagen_Polo_1.4_United,privat,Angebot,5500,test,kleinwagen,2008,manuell,80,polo,125000,6,benzin,volkswagen,nein,2016-03-25 00:00:00,0,44892,2016-04-06 23:17:22
298143,298143,2016-03-08 15:50:56,Peugeot_307CC_mit_LPG_GASANLAGE_/_85.500KM_/_Leder,privat,Angebot,7799,test,cabrio,2005,manuell,140,3_reihe,90000,6,lpg,peugeot,nein,2016-03-08 00:00:00,0,49824,2016-03-10 00:16:48
326915,326915,2016-03-14 03:52:36,BMW_530d_Aut.,privat,Angebot,13000,test,limousine,2006,automatik,231,5er,150000,6,diesel,bmw,nein,2016-03-14 00:00:00,0,50765,2016-04-07 04:46:23
246886,246886,2016-03-05 14:46:04,BMW_320__3er_,privat,Angebot,1800,control,limousine,1998,manuell,150,3er,150000,6,benzin,bmw,nein,2016-03-05 00:00:00,0,13355,2016-03-17 20:47:00
362361,362361,2016-04-01 10:51:53,Volkswagen_Passat_Variant_2.0_TDI_DPF_DSG,privat,Angebot,8400,control,kombi,2008,automatik,170,passat,150000,4,diesel,volkswagen,nein,2016-04-01 00:00:00,0,33184,2016-04-01 10:51:53
